"Year" "Lat" "Lon" "Commercial.weight" "Area_swept" "Depth" "Temperature"
"5186" 2008 46.516107 -62.954287 0 2304 36.576 0.96
"5187" 2008 46.604137 -62.686248 0 999 45.72 0.35
"5188" 2008 46.566508 -62.581643 0 1563 43.8912 0.2
"5189" 2008 46.638142 -62.44696 2.372949253 2728 54.864 -1.2
"5190" 2008 46.561863 -62.235747 0 2156 43.8912 -0.01
"5191" 2008 46.557498 -62.303158 0 2573 43.8912 -0.1
"5192" 2008 46.626687 -61.86975 2.455336769 2837 56.6928 -0.8
"5193" 2008 46.639853 -61.950637 1.029499886 2747 56.6928 -1.04
"5194" 2008 46.889558 -63.269673 6.636163289 2734.2 58.5216 -1.18
"5195" 2008 46.865927 -63.073655 0.735068519 3197 60.3504 -1.14
"5196" 2008 46.880393 -62.890818 7.324386974 2484 60.3504 -1.19
"5197" 2008 46.907027 -62.801278 0.85436863 2789 60.3504 -1.19
"5198" 2008 46.712382 -63.410967 0 2600 40.2336 1.03
"5199" 2008 46.779878 -63.321707 0 2373 47.5488 0.05
"5200" 2008 46.699563 -63.09993 2.863685049 2677 31.0896 -0.41
"5201" 2008 46.762902 -63.03974 4.783846709 3463 60.3504 -1.18
"5202" 2008 46.7215 -62.8839 8.613938169 2528.5 56.6928 -0.88
"5203" 2008 46.782987 -62.7732 0 1709 58.5216 -1.09
"5204" 2008 46.570343 -63.195877 0 2349 40.2336 1.32
"5205" 2008 46.618303 -63.115832 0 2556 45.72 0.15
"5206" 2008 47.00197 -63.720203 0.983296846 2614 47.5488 0.97
"5207" 2008 47.10916 -63.711342 0.418372049 3058 54.864 0.65
"5208" 2008 47.146853 -63.508463 5.735112104 2793 58.5216 -0.64
"5209" 2008 47.111088 -63.458693 5.219470721 2617 60.3504 -0.64
"5210" 2008 47.0461 -63.277093 2.404836258 2899 60.3504 -1.06
"5211" 2008 47.007002 -63.176795 7.199781961 2902 62.1792 -1.04
"5212" 2008 46.969107 -63.525623 0 1599 47.5488 0.03
"5213" 2008 46.945958 -63.622903 0 2461 43.8912 0.2
"5214" 2008 46.940185 -63.355503 3.62887185 2938 58.5216 -1.04
"5215" 2008 47.210537 -63.209218 21.77525135 3022 64.008 -1.05
"5216" 2008 47.214043 -63.096912 11.84579134 2669.6 69.4944 -1.17
"5217" 2008 47.20783 -62.872622 1.350620529 2656 62.1792 -0.76
"5218" 2008 47.187623 -62.716345 1.456248291 2800 64.008 -1.04
"5219" 2008 47.179052 -62.57479 4.295962371 3102 67.6656 -1
"5220" 2008 47.16399 -63.044545 3.79836094 2961 64.008 -1.04
"5221" 2008 47.159643 -63.100078 3.232081296 3349 67.6656 -1.18
"5222" 2008 47.01769 -62.99515 0 1600 60.3504 -0.73
"5223" 2008 47.13349 -62.866738 1.090588278 2757.8 60.3504 -0.88
"5224" 2008 47.151555 -62.734047 3.119403535 2649 65.8368 -0.98
"5225" 2008 47.09217 -62.624165 10.20497063 3268 73.152 -1.02
"5226" 2008 46.980168 -62.984008 0.750749395 2399 60.3504 -1.01
"5227" 2008 46.971018 -62.80563 3.285071522 2968 64.008 -1.04
